source,species,lon,lat
eBird,Amazilia boucardi,-83.523345,8.6964266
eBird,Amazilia boucardi,-84.8435497,9.9739227
eBird,Amazilia boucardi,-83.5973525,8.4800551
eBird,Amazilia boucardi,-84.1471936,9.3909527
eBird,Amazilia boucardi,-84.6379262,9.7821288
eBird,Amazilia boucardi,-84.6409464,9.7819332
eBird,Amazilia boucardi,-83.6688334,9.0868176
eBird,Amazilia boucardi,-84.5664024,9.7844453
eBird,Amazilia boucardi,-83.1621495,8.6390209
eBird,Amazilia boucardi,-84.1430619,9.3845275
eBird,Amazilia boucardi,-85.3384817,10.3450536
eBird,Amazilia boucardi,-84.1655944,9.4318889
eBird,Amazilia boucardi,-84.1550642,9.4117115
eBird,Amazilia boucardi,-83.5878928,8.7952839
eBird,Amazilia boucardi,-83.880744,9.2715138
eBird,Amazilia boucardi,-83.9039612,9.2846859
eBird,Amazilia boucardi,-84.7117138,9.8760605
eBird,Amazilia boucardi,-84.7444153,9.9837284
eBird,Amazilia boucardi,-84.5880833,9.7789812
eBird,Amazilia boucardi,-84.6056056,9.7702337
eBird,Amazilia boucardi,-84.3216133,9.4952413
eBird,Amazilia boucardi,-84.6272564,9.7645509
eBird,Amazilia boucardi,-84.3326426,9.4913076
eBird,Amazilia boucardi,-84.2156982,9.4619308
eBird,Amazilia boucardi,-84.1968906,9.4600682
eBird,Amazilia boucardi,-84.6263429,9.7797727
eBird,Amazilia boucardi,-84.6361861,9.7821806
eBird,Amazilia boucardi,-84.605589,9.8001476
eBird,Amazilia boucardi,-85.1560357,10.2592027
eBird,Amazilia boucardi,-85.1103973,9.5709594
eBird,Amazilia boucardi,-84.6753135,9.8342911
eBird,Amazilia boucardi,-84.6376805,9.7972254
eBird,Amazilia boucardi,-84.596529,9.7965234
eBird,Amazilia boucardi,-84.9259676,9.7871286
eBird,Amazilia boucardi,-85.3265885,10.3657374
eBird,Amazilia boucardi,-83.3057244,8.5356643
eBird,Amazilia boucardi,-84.6194458,9.7712612
eBird,Amazilia boucardi,-84.3575764,9.4989266
eBird,Amazilia boucardi,-85.847926,10.290909
eBird,Amazilia boucardi,-85.0427628,10.1413403
eBird,Amazilia boucardi,-84.6349382,9.7759912
eBird,Amazilia boucardi,-84.6437573,9.7897725
eBird,Amazilia boucardi,-83.4759021,8.6885361
eBird,Amazilia boucardi,-83.51338,8.69985
eBird,Amazilia boucardi,-83.3228218,8.7243116
eBird,Amazilia boucardi,-83.4829166,8.4471961
eBird,Amazilia boucardi,-84.6363813,9.7822556
eBird,Amazilia boucardi,-83.1417847,8.5389234
eBird,Amazilia boucardi,-83.7598822,9.1680239
eBird,Amazilia boucardi,-84.6286833,9.7688938
eBird,Amazilia boucardi,-83.6123943,9.0055536
eBird,Amazilia boucardi,-83.6136855,8.8006193
eBird,Amazilia boucardi,-83.6743475,8.6957702
eBird,Amazilia boucardi,-83.748,9.153
eBird,Amazilia boucardi,-83.6960342,9.1119996
eBird,Amazilia boucardi,-84.9098969,10.034443
eBird,Amazilia boucardi,-84.6622002,9.7052288
eBird,Amazilia boucardi,-85.8328557,10.3153415
eBird,Amazilia boucardi,-83.6736453,8.6946739
